2	
5	
1.58	
1.26	
2	
3.16	
3	
1.5	
1.5	
1.26	
3.16	
2.5	2.5
2	
2	
2	
2	
5	
1.58	
1.58	
3.16	
2	
5	
1.58	
3.16	
2	
3.16	
2	
1.58	
5	
10	
2	
3.16	
3.16	
3.16	
2	
1.58	
1.58	
3.16	
3.16	
3.16	
3.16	
3.16	
3.16	
2	
1.41	
3.16	
2	
3.98	
3.16	5
10	
3.16	2
2.51	
2	3
2	
3.16	3.16
2	3.16
3.16	
2.51	5
2	
2.51	
2.51	
2.51	5
2.51	
2.51	
2.51	
2.51	
3.98	
3.98	
3	5
2	2
2	2
2	
2	2
2.51	
2	2
6.31	
2.51	
1.58	
3.16	
3.16	
10	
2.51	2.51
1.58	
1.58	1.58
1.41	
3.16	
3.16	
3.16	
10	
3	
3	
3	
3	
2	2
2	
2	
2	
1.26	
2	
2	
2	
5	
1.58	
2	
5	
10	
10	
10	
10	
3	
3.16	
1.58	
3.98	
2.51	
2.51	
5	
10	
10	
5	
2.51	
3.16	
5	
10	
3.16	
2	
10	
10	
10	
1.58	
1.26	1.26
2	
10	
10	
5.01	
2	
3.16	
3	
5	
2	5
5	
2	
3.16	
3.16	
2	
2	5
2	
3	
2	
3	
3	
2	
2	
2	
2	
2	
2	2
2	
3	
1.58	
1.58	
1.58	
2	
1.58	
2	
2	
3.16	
2	
2	
2	
3.16	
2	
2	5
5	
5	
5	
2	
10	
2	
3.16	
5	
2	2
5	
5	
3.16	
10	
4	
2	
5	
5	
5	
3	
5	
5	
5	
2	
2	5
2	
1.58	
1.58	
5	
5	
5	
5	
3.16	2
2	
3	
1.5	
10	
1.5	
1.3	2
2	
2	2
2	
3	
2	
2	
10	
